Year,Frosty Aspect 1_A93,Frosty Aspect 1_D65,Frosty Aspect 1_D66,Frosty Aspect 1_FP2,Frosty Aspect 1_FP14,Frosty Aspect 1_FP17,Frosty Aspect 4_DS24,Frosty Aspect 4_K22,Frosty Aspect 4_R69,Frosty Aspect 4_R72,Frosty Aspect 5-A4,Frosty Aspect 5-DS13,Frosty Aspect 5-P39,Frosty Aspect 5-P89,Frosty Aspect 5-R15,Frosty Aspect 6-D36,Frosty Aspect 6-D93,Frosty Aspect 6-R21,Frosty Aspect 7-D145,Nile Creek Aspect 1_H81,Nile Creek Aspect 10_H134,Nile Creek Aspect 11_P9B,Nile Creek Aspect 11_K31,Nile Creek Aspect 11_K27,Nile Creek Aspect 11_K25,Nile Creek Aspect 11_P30,Nile Creek Aspect 4_K5,Nile Creek Aspect 5_H95,Nile Creek Aspect 7_M8,Nile Creek Aspect 9_K6,Quartzite Aspect 2_P63,Quartzite Aspect 4_D23,Quartzite Aspect 5_P55,Quartzite Aspect 5_D55,Quartzite Aspect 7_DK1,South Deep Aspect 8_L2,Twenty Mle Aspect 10_K3,Twenty Mle Aspect 10_K4,Twenty Mle Aspect 10_K11,Twenty Mle Aspect 10_K16,Twenty Mle Aspect 10_P7,Twenty Mle Aspect 10_P8,Twenty Mle Aspect 10_P9,Twenty Mle Aspect 10_P87,Twenty Mle Aspect 12_P121,Twenty Mle Aspect 13_P15,Twenty Mle Aspect 3_R22,Twenty Mle Aspect 5_A14,Twenty Mle Aspect 5_P176,Twenty Mle Aspect 5_P217,Twenty Mle Aspect 5_P219,Twenty Mle Aspect 5_P224,Twenty Mle Aspect 5_P227,Twenty Mle Aspect 6_D8,Twenty Mle Aspect 6_D80,Twenty Mle Aspect 6_P49,Twenty Mle Aspect 6_P231,Twenty Mle Aspect 6_P247,Twenty Mle Aspect 6_R6,Twenty Mle Aspect 7_D14,Twenty Mle Aspect 7_D16,Twenty Mle Aspect 7_D17,Twenty Mle Aspect 7_K29,Twenty Mle Aspect 7_P34,Twenty Mle Aspect 8_P106,Twenty Mle Aspect 8_P205,Baker City Watershed_2.1
1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
1343,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1344,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1345,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1346,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1347,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1348,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1349,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1350,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1351,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1352,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,
1353,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1354,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1355,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1356,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1357,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1358,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1359,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1360,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1361,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1362,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1363,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1364,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1365,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1366,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1367,,,,,,,0,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1368,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1369,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1370,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1371,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1372,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1373,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1374,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1375,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1376,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1377,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1378,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1379,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1380,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1381,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1382,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1383,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1384,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1385,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1386,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
