Year,Frosty Aspect 1_A93,Frosty Aspect 1_D65,Frosty Aspect 1_D66,Frosty Aspect 1_FP2,Frosty Aspect 1_FP14,Frosty Aspect 1_FP17,Frosty Aspect 4_DS24,Frosty Aspect 4_K22,Frosty Aspect 4_R69,Frosty Aspect 4_R72,Frosty Aspect 5-A4,Frosty Aspect 5-DS13,Frosty Aspect 5-P39,Frosty Aspect 5-P89,Frosty Aspect 5-R15,Frosty Aspect 6-D36,Frosty Aspect 6-D93,Frosty Aspect 6-R21,Frosty Aspect 7-D145,Nile Creek Aspect 1_H81,Nile Creek Aspect 10_H134,Nile Creek Aspect 11_P9B,Nile Creek Aspect 11_K31,Nile Creek Aspect 11_K27,Nile Creek Aspect 11_K25,Nile Creek Aspect 11_P30,Nile Creek Aspect 4_K5,Nile Creek Aspect 5_H95,Nile Creek Aspect 7_M8,Nile Creek Aspect 9_K6,Quartzite Aspect 2_P63,Quartzite Aspect 4_D23,Quartzite Aspect 5_P55,Quartzite Aspect 5_D55,Quartzite Aspect 7_DK1,South Deep Aspect 8_L2,Twenty Mle Aspect 10_K3,Twenty Mle Aspect 10_K4,Twenty Mle Aspect 10_K11,Twenty Mle Aspect 10_K16,Twenty Mle Aspect 10_P7,Twenty Mle Aspect 10_P8,Twenty Mle Aspect 10_P9,Twenty Mle Aspect 10_P87,Twenty Mle Aspect 12_P121,Twenty Mle Aspect 13_P15,Twenty Mle Aspect 3_R22,Twenty Mle Aspect 5_A14,Twenty Mle Aspect 5_P176,Twenty Mle Aspect 5_P217,Twenty Mle Aspect 5_P219,Twenty Mle Aspect 5_P224,Twenty Mle Aspect 5_P227,Twenty Mle Aspect 6_D8,Twenty Mle Aspect 6_D80,Twenty Mle Aspect 6_P49,Twenty Mle Aspect 6_P231,Twenty Mle Aspect 6_P247,Twenty Mle Aspect 6_R6,Twenty Mle Aspect 7_D14,Twenty Mle Aspect 7_D16,Twenty Mle Aspect 7_D17,Twenty Mle Aspect 7_K29,Twenty Mle Aspect 7_P34,Twenty Mle Aspect 8_P106,Twenty Mle Aspect 8_P205,Baker City Watershed_2.1
1387,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1388,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1389,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1390,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1391,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1392,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1393,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1394,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1395,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1396,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,2,,,,,,2,1,,,
1397,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1398,,,,,,,0,,,,,,,,,,2,,,,,,,,,1,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1399,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,2,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1400,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1401,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1402,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1403,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1404,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1405,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,2,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1406,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1407,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1408,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1409,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1410,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1411,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,2,,,
1412,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1413,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1414,,,,,,,0,,,,,,,,,,2,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1415,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1416,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1417,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,2,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1418,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1419,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1420,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1421,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1422,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1423,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1424,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,2,,,,0,,,0,,0,,0,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1425,,,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,2,2,,,,,,,,1,,,,,,1,1,,,
1426,,,,,,,0,,,,,,,2,,,0,,,,,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,,,,,,,1,,,,,,1,1,,,
1427,,,,,,,2,,,,,,,1,,,0,,,,,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,,,,,,,1,,,,,,1,1,,,
1428,,,,,,,0,,,,,,,1,,,0,,,,,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,,,,,,,1,,,,,,1,1,,,2
1429,,,,,,,0,,,,,,,1,,,0,,,,,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,,,,,,,1,,,,,,1,1,,,1
1430,,,,,,,0,,,,,,,1,,,0,,,,,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,,,,,,,1,,,,,,1,1,,,1
1431,,,,,,,0,,,,,,,1,,,0,,,,,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,,,,,,,1,,,,,,1,1,,,1
1432,,,,,,,0,,,,2,,,1,,,0,,,,2,,,,,1,,,2,,,,0,,,0,,0,,0,,,,,,,,1,0,,2,,,,,,1,,,2,,,2,1,,,1
1433,,,,,,,0,,,,0,,,1,,2,0,,,,1,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,,,1
1434,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,,,1
1435,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,,,1
1436,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,,,1
1437,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,,,1
1438,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,,,1
1439,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,,,1
1440,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,0,,,0,,0,,0,,,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,,,1
1441,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,2,,,,0,,,0,,2,,0,,2,,,,,,1,0,,1,,,,,,1,,,1,,,1,2,2,,1
1442,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,0,,,0,,1,,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1443,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,2,,,0,,1,,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1444,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,1,,,0,,1,,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1445,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,1,,,0,,1,,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1446,,,,,,,0,,,,0,,,1,,1,0,,,,2,,,,,1,,,1,,,,1,,,0,,1,,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1447,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,1,,,0,,1,,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1448,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,1,,,0,,1,,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1449,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,1,,,0,,1,,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1450,,,,,,,2,,,,0,,,1,,1,2,,,,1,,,,,1,,,1,,,,1,,,0,,1,,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1451,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,1,,,0,,1,2,0,,1,,,,,,1,0,,1,,,,,,1,,,1,,,1,1,0,,1
1452,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,,1,,,0,,1,0,0,,2,,,,,,1,0,,1,,,,,,2,2,,1,,,1,1,0,,1
1453,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1454,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1455,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1456,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1457,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1458,,,,,,,2,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1459,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,2,,,,,,1,1,,1,,,1,1,0,,1
1460,,,,,,,0,,,,0,,,1,,1,0,,,,1,,,,,1,,,2,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1461,,,,,,,0,,,,0,,2,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1462,,,,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1463,,,,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1464,,,,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,2,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1465,,,,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1466,,,,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1467,,,2,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1468,,,0,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1469,,,0,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1470,,,0,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1471,,,0,,,,0,,,,0,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1472,,,0,,,,0,,2,,2,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,1
1473,,,0,,,,0,,0,,0,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,,1,0,0,,1,,,,,,1,0,,1,,,,,,1,1,,1,,,1,1,0,,2
1474,,,0,,,,0,,0,,0,,1,1,,1,0,,,,1,,,,,1,,,1,1,,1,1,,,0,2,1,2,2,2,2,2,2,2,,,1,0,2,2,,,2,,2,2,1,,1,2,2,1,1,0,,1
1475,,,0,,,,0,,0,2,0,,1,2,,2,2,2,,,1,2,2,2,2,1,,,2,1,,1,2,,,0,0,1,1,0,1,1,1,1,0,,,1,0,0,1,,,0,,0,1,1,,1,1,1,1,1,0,,1
1476,,,0,,,,0,,0,0,0,,1,1,,0,0,0,,,1,1,1,1,1,1,,,1,1,,1,1,,,0,0,1,1,0,1,1,1,1,0,,,1,0,0,1,,,0,,0,1,1,,1,1,1,1,1,0,,1
1477,,,0,,,,0,,0,0,0,,1,1,2,0,0,0,,,1,1,1,1,1,1,,,1,1,,1,1,,,0,0,1,1,0,1,1,1,1,0,,,1,0,0,1,,,0,,0,1,1,,1,1,1,1,1,0,,1
1478,2,2,0,,,,0,,0,0,0,,1,1,0,0,0,0,,,1,1,1,1,1,1,,,1,1,,1,1,,,0,0,1,1,0,1,1,1,1,0,,,1,0,0,1,,,0,,0,1,1,,1,1,1,1,1,0,,1
1479,0,0,0,,,,0,,0,0,0,,1,1,0,0,0,0,,,1,1,1,1,1,1,,,1,1,,1,1,,,0,0,1,1,0,1,1,1,1,0,,,2,0,0,2,2,2,0,,0,1,1,,1,1,1,1,1,0,2,1
1480,0,0,0,,,,0,,0,0,0,,1,1,0,0,0,0,,,1,1,1,1,1,1,,,1,1,,1,1,,,0,0,1,1,0,1,1,1,1,0,,,1,0,0,1,0,0,0,,0,1,1,,1,1,1,1,1,0,1,1
1481,0,0,0,,,,0,,0,2,0,,1,1,0,0,0,0,,,1,1,1,1,1,1,,,1,1,,1,1,,,0,0,1,1,0,1,1,1,1,0,,,1,0,0,1,0,0,0,,0,1,1,,1,1,1,1,1,0,1,1
