PNW,Frosty Aspect,48.62,118.93,Everett et al.
PNW,Nile Creek Aspect,46.87,121.08,Everett et al.
PNW,Quartzite Aspect,48.28,117.62,Everett et al.
PNW,South Deep Aspect,48.75,117.67,Everett et al.
PNW,Twenty Mile Aspect,48.67,120.08,Everett et al.
NC,Adin Pass,41.34,120.99,Skinner
NC,Bluff Lake,41.34,122.55,Skinner
NC,Cedar Basin,41.22,122.49,Skinner
NC,Coggins Saddle,42.15,122.69,Skinner
NC,Crater Creek,41.38,122.58,Skinner
NC,Dog Valley,39.59,120.03,Taylor
NC,El Capitan,37.73,119.76,Taylor
NC,Goosenest,41.53,121.85,Skinner
NC,Grayback,42.14,123.45,Skinner
NC,Hayfork,40.5,123.2,Taylor
NC,Lake Tahoe Basin,39.05,119.93,Taylor
NC,Prospect Peak,42.56,121.69,Taylor
NC,Stampede Reservoir,39.45,120.13,Taylor
IW,Al Gulch,39.16,105.36,Donnegan et al.
IW,Archuleta Mesa,37.17,107.26,Brown and Wu
IW,Ashenfelder Lower,42.33,105.38,Brown
IW,Bear Lodge North,44.58,104.38,Brown
IW,BM6,40.07,105.47,Veblen et al.
IW,Cheesman Lake North,39,105,Brown
IW,Cold Springs Creek,44.03,104.15,Brown
IW,Crooked Creek,39,105,Donnegan et al.
IW,Five Pine Canyon,37,108,Grissino-Mayer 
IW,Hells Hole West,39.65,105.68,Sherriff et al.
IW,Hidden Valley South,40.39,105.66,Sherriff et al.
IW,Hot Creek,37.28,106.27,Brown
IW,Loch Lomond,39.82,105.67,Sherriff et al.
IW,Lone Pine,40.82,105.45,Brown
IW,Lubrecht Experimental Forest,46,113,Jones and Heyerdahl
IW,Manitou Old Growth,39.05,105.07,Brown
IW,Mica Mine,40.15,105.35,Brown
IW,Missouri Gulch,39.13,105.05,Brown
IW,Old Tree Cluster,39,105,Brown
IW,Peabody Spur,39,105,Donnegan et al.
IW,Rye Slough,38,105,Donnegan et al.
IW,Wahout Gulch Burn,40,105,Brown
IW,Wet Mountains South,37,105,Brown
SW,Black Mountain,33.36,108.21,Baisan and Swetnam
SW,Blacks Mountain,33.84,116.74,Skinner
SW,Canada Bonia,35.91,106.37,Touchan et al.
SW,Cerro Bandera,35,108.1,Grissino-Mayer and Swetnam
SW,Fillmore Canyon,32.33,106.56,Morino et al.
SW,Hitchcock,32.38,110.68,Baisan and Morino
SW,Hoya de Cibola Lava Flow,34.89,108.15,Grissino-Mayer and Swetnam
SW,Josephine Saddle,31.69,110.86,Gungle et al.
SW,La Luz trail Sandia Mountains,35.21,106.46,Baisan and Swetnam
SW,La Marchanita,34.99,108.06,Grissino-Mayer and Swetnam
SW,Mesita Blanca,34.88,108.07,Grissino-Mayer and Swetnam
SW,Mica Mountain,32.2,110.5,Baisan and Swetnam
SW,Monument Canyon Natural Area,35.8,106.62,Swetnam et al.
SW,N Alamo Bog,35.92,106.59,Morino et al.
SW,Old Pine Bluff,32.34,106.55,Morino et al.
SW,Peters Flat,32.46,109.56,Grissino-Mayer
SW,Rincon Peak,32.12,110.52,Baisan
SW,Rito de los Frijoles,35.82,106.38,Swetnam et al.
SW,Rock House Spring,32.33,106.55,Morino and Swetnam
SW,Round Mountain,35.87,105.64,Touchan


