"Year","Volc.hl.RF","C14.resid.Lean.splice","Be10.Lean.splice","C14.Bard.Lean.splice","Aer.RF","CO2...RF","solar","volcano","CO2","aerosol","totalRF","CL2","totalRFminusVolcano"
1000,0,-0.004,0.044,0.151,0,-0.05,0.044,0,-0.05,0,-0.00600000000000001,-0.02,-0.00600000000000001
1001,0,-0.007,0.042,0.146,0,-0.05,0.042,0,-0.05,0,-0.008,-0.05,-0.008
1002,0,-0.01,0.041,0.142,0,-0.05,0.041,0,-0.05,0,-0.009,-0.07,-0.009
1003,0,-0.014,0.04,0.137,0,-0.05,0.04,0,-0.05,0,-0.01,-0.08,-0.01
1004,-0.8,-0.017,0.039,0.133,0,-0.05,0.039,-0.8,-0.05,0,-0.811,-0.07,-0.011
1005,-0.3,-0.02,0.033,0.128,0,-0.05,0.033,-0.3,-0.05,0,-0.317,-0.06,-0.017
1006,0,-0.016,0.026,0.126,0,-0.05,0.026,0,-0.05,0,-0.024,-0.05,-0.024
1007,0,-0.013,0.02,0.124,0,-0.05,0.02,0,-0.05,0,-0.03,-0.04,-0.03
1008,0,-0.009,0.014,0.121,0,-0.05,0.014,0,-0.05,0,-0.036,-0.05,-0.036
1009,0,-0.005,0.008,0.119,0,-0.05,0.008,0,-0.05,0,-0.042,0.01,-0.042
1010,0,-0.001,0.002,0.117,0,-0.04,0.002,0,-0.04,0,-0.038,0.01,-0.038
1011,0,0.003,-0.004,0.114,0,-0.04,-0.004,0,-0.04,0,-0.044,0.02,-0.044
1012,0,0.007,-0.011,0.112,0,-0.04,-0.011,0,-0.04,0,-0.051,0.03,-0.051
1013,0,0.011,-0.014,0.11,0,-0.04,-0.014,0,-0.04,0,-0.054,0.04,-0.054
1014,0,0.015,-0.017,0.108,0,-0.04,-0.017,0,-0.04,0,-0.057,0.04,-0.057
1015,-2.79,0.018,-0.02,0.111,0,-0.04,-0.02,-2.79,-0.04,0,-2.85,0.05,-0.06
1016,-1,0.01,-0.023,0.113,0,-0.04,-0.023,-1,-0.04,0,-1.063,0.06,-0.063
1017,0,0.001,-0.026,0.116,0,-0.04,-0.026,0,-0.04,0,-0.066,0.05,-0.066
1018,0,-0.007,-0.029,0.119,0,-0.04,-0.029,0,-0.04,0,-0.069,0.04,-0.069
1019,0,-0.016,-0.032,0.122,0,-0.04,-0.032,0,-0.04,0,-0.072,0.04,-0.072
1020,0,-0.024,-0.035,0.125,0,-0.04,-0.035,0,-0.04,0,-0.075,0.06,-0.075
1021,0,-0.033,-0.038,0.128,0,-0.04,-0.038,0,-0.04,0,-0.078,0.08,-0.078
1022,0,-0.041,-0.041,0.131,0,-0.04,-0.041,0,-0.04,0,-0.081,0.09,-0.081
1023,0,-0.05,-0.044,0.134,0,-0.04,-0.044,0,-0.04,0,-0.084,0.11,-0.084
1024,0,-0.058,-0.047,0.133,0,-0.04,-0.047,0,-0.04,0,-0.087,0.08,-0.087
1025,0,-0.067,-0.051,0.133,0,-0.04,-0.051,0,-0.04,0,-0.091,0.07,-0.091
1026,-3.27,-0.068,-0.053,0.132,0,-0.04,-0.053,-3.27,-0.04,0,-3.363,0.07,-0.093
1027,-1.2,-0.07,-0.057,0.132,0,-0.04,-0.057,-1.2,-0.04,0,-1.297,0.06,-0.097
