"Year","Volc.hl.RF","C14.resid.Lean.splice","Be10.Lean.splice","C14.Bard.Lean.splice","Aer.RF","CO2...RF","solar","volcano","CO2","aerosol","totalRF","CL2","totalRFminusVolcano"
1028,0,-0.072,-0.06,0.131,0,-0.04,-0.06,0,-0.04,0,-0.1,0.07,-0.1
1029,0,-0.073,-0.063,0.131,0,-0.04,-0.063,0,-0.04,0,-0.103,0.07,-0.103
1030,0,-0.075,-0.066,0.13,0,-0.04,-0.066,0,-0.04,0,-0.106,0.07,-0.106
1031,0,-0.076,-0.069,0.13,0,-0.04,-0.069,0,-0.04,0,-0.109,0.05,-0.109
1032,0,-0.078,-0.073,0.118,0,-0.04,-0.073,0,-0.04,0,-0.113,0.03,-0.113
1033,0,-0.08,-0.076,0.106,0,-0.04,-0.076,0,-0.04,0,-0.116,0.03,-0.116
1034,0,-0.081,-0.079,0.094,0,-0.04,-0.079,0,-0.04,0,-0.119,0.01,-0.119
1035,0,-0.083,-0.082,0.083,0,-0.03,-0.082,0,-0.03,0,-0.112,0.02,-0.112
1036,0,-0.087,-0.084,0.071,0,-0.03,-0.084,0,-0.03,0,-0.114,0,-0.114
1037,0,-0.091,-0.086,0.059,0,-0.03,-0.086,0,-0.03,0,-0.116,-0.02,-0.116
1038,0,-0.094,-0.087,0.048,0,-0.03,-0.087,0,-0.03,0,-0.117,-0.01,-0.117
1039,0,-0.098,-0.089,0.036,0,-0.03,-0.089,0,-0.03,0,-0.119,-0.03,-0.119
1040,0,-0.102,-0.091,0.024,0,-0.03,-0.091,0,-0.03,0,-0.121,-0.03,-0.121
1041,0,-0.106,-0.093,0.015,0,-0.03,-0.093,0,-0.03,0,-0.123,-0.05,-0.123
1042,0,-0.11,-0.094,0.005,0,-0.03,-0.094,0,-0.03,0,-0.124,-0.06,-0.124
1043,0,-0.114,-0.096,-0.004,0,-0.03,-0.096,0,-0.03,0,-0.126,-0.03,-0.126
1044,0,-0.118,-0.098,-0.013,0,-0.03,-0.098,0,-0.03,0,-0.128,-0.03,-0.128
1045,0,-0.121,-0.099,-0.023,0,-0.03,-0.099,0,-0.03,0,-0.129,-0.02,-0.129
1046,0,-0.12,-0.1,-0.032,0,-0.03,-0.1,0,-0.03,0,-0.13,-0.01,-0.13
1047,0,-0.118,-0.101,-0.041,0,-0.03,-0.101,0,-0.03,0,-0.131,0.01,-0.131
1048,0,-0.116,-0.102,-0.051,0,-0.03,-0.102,0,-0.03,0,-0.132,0.03,-0.132
1049,0,-0.114,-0.103,-0.055,0,-0.03,-0.103,0,-0.03,0,-0.133,0.02,-0.133
1050,0,-0.112,-0.104,-0.06,0,-0.03,-0.104,0,-0.03,0,-0.134,0.01,-0.134
1051,0,-0.11,-0.106,-0.065,0,-0.03,-0.106,0,-0.03,0,-0.136,-0.01,-0.136
1052,0,-0.108,-0.107,-0.069,0,-0.03,-0.107,0,-0.03,0,-0.137,0.01,-0.137
1053,0,-0.107,-0.108,-0.074,0,-0.02,-0.108,0,-0.02,0,-0.128,0.02,-0.128
1054,0,-0.105,-0.109,-0.07,0,-0.02,-0.109,0,-0.02,0,-0.129,0,-0.129
1055,0,-0.103,-0.108,-0.067,0,-0.02,-0.108,0,-0.02,0,-0.128,-0.01,-0.128
1056,0,-0.102,-0.108,-0.063,0,-0.02,-0.108,0,-0.02,0,-0.128,-0.01,-0.128
1057,0,-0.102,-0.108,-0.059,0,-0.02,-0.108,0,-0.02,0,-0.128,-0.01,-0.128
1058,-4.51,-0.101,-0.107,-0.056,0,-0.02,-0.107,-4.51,-0.02,0,-4.637,-0.02,-0.127
1059,-1.7,-0.101,-0.107,-0.052,0,-0.02,-0.107,-1.7,-0.02,0,-1.827,-0.02,-0.127
1060,0,-0.1,-0.106,-0.048,0,-0.02,-0.106,0,-0.02,0,-0.126,-0.02,-0.126
1061,0,-0.1,-0.106,-0.045,0,-0.02,-0.106,0,-0.02,0,-0.126,0,-0.126
1062,-1.2,-0.099,-0.105,-0.04,0,-0.02,-0.105,-1.2,-0.02,0,-1.325,0.01,-0.125
1063,-0.4,-0.099,-0.097,-0.036,0,-0.02,-0.097,-0.4,-0.02,0,-0.517,0,-0.117
1064,0,-0.098,-0.089,-0.032,0,-0.01,-0.089,0,-0.01,0,-0.099,0,-0.099
1065,0,-0.097,-0.081,-0.032,0,-0.01,-0.081,0,-0.01,0,-0.091,0.01,-0.091
1066,0,-0.098,-0.072,-0.032,0,-0.01,-0.072,0,-0.01,0,-0.082,0.02,-0.082
1067,0,-0.098,-0.064,-0.032,0,-0.01,-0.064,0,-0.01,0,-0.074,0.01,-0.074
1068,0,-0.099,-0.056,-0.032,0,-0.01,-0.056,0,-0.01,0,-0.066,0,-0.066
1069,0,-0.099,-0.048,-0.033,0,-0.01,-0.048,0,-0.01,0,-0.058,0.02,-0.058
1070,0,-0.099,-0.04,-0.033,0,-0.01,-0.04,0,-0.01,0,-0.05,0.02,-0.05
1071,0,-0.1,-0.032,-0.033,0,-0.01,-0.032,0,-0.01,0,-0.042,0.02,-0.042
1072,0,-0.1,-0.024,-0.033,0,-0.01,-0.024,0,-0.01,0,-0.034,0.01,-0.034
1073,0,-0.101,-0.015,-0.027,0,-0.01,-0.015,0,-0.01,0,-0.025,0,-0.025
1074,0,-0.101,-0.007,-0.021,0,-0.01,-0.007,0,-0.01,0,-0.017,0,-0.017
1075,0,-0.101,0.001,-0.015,0,-0.01,0.001,0,-0.01,0,-0.009,0,-0.009
1076,0,-0.097,0.006,-0.009,0,0,0.006,0,0,0,0.006,0,0.006
1077,0,-0.093,0.012,-0.003,0,0,0.012,0,0,0,0.012,0,0.012
1078,0,-0.089,0.018,0.003,0,0,0.018,0,0,0,0.018,0.04,0.018
1079,0,-0.085,0.024,0.009,0,0,0.024,0,0,0,0.024,0.06,0.024
1080,-0.8,-0.081,0.029,0.015,0,0,0.029,-0.8,0,0,-0.771,0.05,0.029
1081,-0.3,-0.077,0.035,0.023,0,0,0.035,-0.3,0,0,-0.265,0.05,0.035
1082,0,-0.073,0.041,0.032,0,0,0.041,0,0,0,0.041,0.07,0.041
1083,0,-0.068,0.046,0.04,0,0,0.046,0,0,0,0.046,0.08,0.046
1084,0,-0.064,0.048,0.048,0,0,0.048,0,0,0,0.048,0.11,0.048
1085,0,-0.06,0.05,0.056,0,0,0.05,0,0,0,0.05,0.11,0.05
1086,0,-0.055,0.053,0.065,0,0,0.053,0,0,0,0.053,0.12,0.053
1087,0,-0.051,0.055,0.073,0,0,0.055,0,0,0,0.055,0.13,0.055
1088,0,-0.046,0.057,0.081,0,0,0.057,0,0,0,0.057,0.12,0.057
1089,0,-0.041,0.059,0.089,0,0.01,0.059,0,0.01,0,0.069,0.12,0.069
1090,0,-0.036,0.061,0.098,0,0.01,0.061,0,0.01,0,0.071,0.1,0.071
1091,0,-0.031,0.063,0.106,0,0.01,0.063,0,0.01,0,0.073,0.09,0.073
1092,0,-0.027,0.065,0.115,0,0.01,0.065,0,0.01,0,0.075,0.09,0.075
1093,0,-0.022,0.068,0.123,0,0.01,0.068,0,0.01,0,0.078,0.09,0.078
1094,0,-0.017,0.071,0.131,0,0.01,0.071,0,0.01,0,0.081,0.07,0.081
1095,0,-0.012,0.074,0.14,0,0.01,0.074,0,0.01,0,0.084,0.06,0.084
1096,0,-0.009,0.077,0.142,0,0.01,0.077,0,0.01,0,0.087,0.06,0.087
1097,-1.85,-0.007,0.079,0.145,0,0.01,0.079,-1.85,0.01,0,-1.761,0.06,0.089
1098,-0.7,-0.004,0.082,0.148,0,0.01,0.082,-0.7,0.01,0,-0.608,0.07,0.092
1099,0,-0.001,0.085,0.151,0,0.01,0.085,0,0.01,0,0.095,0.07,0.095
1100,0,0.002,0.088,0.154,0,0.01,0.088,0,0.01,0,0.098,0.07,0.098
1101,0,0.005,0.091,0.156,0,0.01,0.091,0,0.01,0,0.101,0.08,0.101
1102,0,0.007,0.094,0.159,0,0.02,0.094,0,0.02,0,0.114,0.08,0.114
1103,0,0.01,0.096,0.162,0,0.02,0.096,0,0.02,0,0.116,0.07,0.116
1104,0,0.013,0.099,0.165,0,0.02,0.099,0,0.02,0,0.119,0.04,0.119
1105,0,0.016,0.102,0.167,0,0.02,0.102,0,0.02,0,0.122,0.02,0.122
1106,0,0.017,0.105,0.166,0,0.02,0.105,0,0.02,0,0.125,0.02,0.125
1107,0,0.019,0.108,0.165,0,0.02,0.108,0,0.02,0,0.128,0.01,0.128
1108,0,0.02,0.111,0.164,0,0.02,0.111,0,0.02,0,0.131,0.01,0.131
1109,0,0.022,0.118,0.163,0,0.02,0.118,0,0.02,0,0.138,0,0.138
1110,0,0.024,0.126,0.162,0,0.02,0.126,0,0.02,0,0.146,0,0.146
1111,0,0.025,0.133,0.16,0,0.02,0.133,0,0.02,0,0.153,-0.01,0.153
1112,0,0.027,0.141,0.159,0,0.02,0.141,0,0.02,0,0.161,-0.03,0.161
1113,0,0.028,0.148,0.158,0,0.02,0.148,0,0.02,0,0.168,-0.04,0.168
1114,0,0.03,0.156,0.157,0,0.02,0.156,0,0.02,0,0.176,-0.04,0.176
1115,0,0.032,0.156,0.156,0,0.02,0.156,0,0.02,0,0.176,-0.02,0.176
1116,0,0.029,0.157,0.154,0,0.02,0.157,0,0.02,0,0.177,-0.01,0.177
1117,0,0.026,0.157,0.153,0,0.03,0.157,0,0.03,0,0.187,0,0.187
1118,0,0.022,0.157,0.152,0,0.03,0.157,0,0.03,0,0.187,0.02,0.187
1119,0,0.019,0.158,0.151,0,0.03,0.158,0,0.03,0,0.188,-0.01,0.188
1120,0,0.016,0.158,0.149,0,0.03,0.158,0,0.03,0,0.188,-0.02,0.188
1121,0,0.013,0.159,0.148,0,0.03,0.159,0,0.03,0,0.189,-0.02,0.189
1122,0,0.01,0.159,0.147,0,0.03,0.159,0,0.03,0,0.189,-0.01,0.189
1123,0,0.007,0.159,0.145,0,0.03,0.159,0,0.03,0,0.189,0,0.189
1124,0,0.004,0.16,0.144,0,0.03,0.16,0,0.03,0,0.19,0,0.19
1125,0,0.001,0.161,0.15,0,0.03,0.161,0,0.03,0,0.191,0,0.191
1126,0,0.002,0.162,0.156,0,0.03,0.162,0,0.03,0,0.192,-0.01,0.192
1127,0,0.002,0.162,0.163,0,0.03,0.162,0,0.03,0,0.192,-0.01,0.192
1128,0,0.003,0.164,0.169,0,0.03,0.164,0,0.03,0,0.194,-0.02,0.194
1129,0,0.003,0.165,0.175,0,0.03,0.165,0,0.03,0,0.195,-0.04,0.195
1130,0,0.004,0.166,0.181,0,0.03,0.166,0,0.03,0,0.196,-0.03,0.196
1131,0,0.004,0.167,0.187,0,0.03,0.167,0,0.03,0,0.197,-0.02,0.197
1132,0,0.005,0.168,0.193,0,0.03,0.168,0,0.03,0,0.198,-0.02,0.198
1133,0,0.005,0.171,0.2,0,0.03,0.171,0,0.03,0,0.201,-0.02,0.201
1134,0,0.006,0.175,0.201,0,0.03,0.175,0,0.03,0,0.205,-0.02,0.205
1135,0,0.006,0.177,0.202,0,0.03,0.177,0,0.03,0,0.207,-0.01,0.207
1136,0,0.017,0.179,0.203,0,0.03,0.179,0,0.03,0,0.209,0,0.209
1137,0,0.028,0.181,0.204,0,0.03,0.181,0,0.03,0,0.211,0.01,0.211
1138,0,0.038,0.182,0.205,0,0.04,0.182,0,0.04,0,0.222,0,0.222
1139,0,0.049,0.183,0.205,0,0.04,0.183,0,0.04,0,0.223,0,0.223
1140,0,0.06,0.183,0.206,0,0.04,0.183,0,0.04,0,0.223,0.01,0.223
1141,0,0.07,0.184,0.206,0,0.04,0.184,0,0.04,0,0.224,0,0.224
1142,0,0.081,0.184,0.207,0,0.04,0.184,0,0.04,0,0.224,0,0.224
1143,0,0.092,0.185,0.207,0,0.04,0.185,0,0.04,0,0.225,0,0.225
1144,0,0.102,0.185,0.208,0,0.04,0.185,0,0.04,0,0.225,-0.01,0.225
1145,0,0.113,0.186,0.208,0,0.04,0.186,0,0.04,0,0.226,-0.01,0.226
1146,0,0.11,0.186,0.211,0,0.04,0.186,0,0.04,0,0.226,-0.02,0.226
1147,0,0.107,0.185,0.214,0,0.04,0.185,0,0.04,0,0.225,-0.04,0.225
1148,0,0.103,0.183,0.216,0,0.04,0.183,0,0.04,0,0.223,-0.05,0.223
1149,0,0.1,0.181,0.219,0,0.04,0.181,0,0.04,0,0.221,-0.05,0.221
1150,0,0.097,0.18,0.221,0,0.04,0.18,0,0.04,0,0.22,-0.03,0.22
1151,0,0.094,0.178,0.224,0,0.04,0.178,0,0.04,0,0.218,-0.03,0.218
1152,0,0.091,0.176,0.227,0,0.04,0.176,0,0.04,0,0.216,-0.02,0.216
1153,0,0.087,0.174,0.229,0,0.04,0.174,0,0.04,0,0.214,0,0.214
1154,0,0.084,0.173,0.232,0,0.04,0.173,0,0.04,0,0.213,0,0.213
1155,0,0.081,0.171,0.233,0,0.04,0.171,0,0.04,0,0.211,0.01,0.211
1156,0,0.073,0.165,0.234,0,0.04,0.165,0,0.04,0,0.205,0.03,0.205
1157,0,0.065,0.162,0.235,0,0.04,0.162,0,0.04,0,0.202,0.04,0.202
1158,0,0.057,0.156,0.236,0,0.04,0.156,0,0.04,0,0.196,0.06,0.196
1159,0,0.048,0.15,0.237,0,0.04,0.15,0,0.04,0,0.19,0.08,0.19
1160,0,0.04,0.146,0.238,0,0.04,0.146,0,0.04,0,0.186,0.09,0.186
1161,0,0.032,0.141,0.239,0,0.04,0.141,0,0.04,0,0.181,0.09,0.181
1162,0,0.024,0.143,0.238,0,0.04,0.143,0,0.04,0,0.183,0.09,0.183
1163,0,0.016,0.145,0.237,0,0.04,0.145,0,0.04,0,0.185,0.11,0.185
1164,0,0.008,0.148,0.236,0,0.04,0.148,0,0.04,0,0.188,0.11,0.188
1165,0,0,0.15,0.235,0,0.04,0.15,0,0.04,0,0.19,0.11,0.19
1166,-1.1,0.004,0.152,0.234,0,0.04,0.152,-1.1,0.04,0,-0.908,0.1,0.192
1167,-0.4,0.008,0.149,0.233,0,0.05,0.149,-0.4,0.05,0,-0.201,0.09,0.199
1168,0,0.013,0.147,0.232,0,0.05,0.147,0,0.05,0,0.197,0.09,0.197
1169,0,0.017,0.144,0.231,0,0.05,0.144,0,0.05,0,0.194,0.08,0.194
1170,0,0.021,0.141,0.23,0,0.05,0.141,0,0.05,0,0.191,0.08,0.191
1171,0,0.025,0.138,0.229,0,0.05,0.138,0,0.05,0,0.188,0.07,0.188
1172,0,0.03,0.135,0.227,0,0.05,0.135,0,0.05,0,0.185,0.05,0.185
1173,0,0.034,0.132,0.227,0,0.05,0.132,0,0.05,0,0.182,0.04,0.182
1174,0,0.038,0.129,0.226,0,0.05,0.129,0,0.05,0,0.179,0.03,0.179
1175,-6.94,0.042,0.131,0.226,0,0.05,0.131,-6.94,0.05,0,-6.759,0.01,0.181
1176,-2.6,0.043,0.132,0.225,0,0.05,0.132,-2.6,0.05,0,-2.418,0,0.182
1177,-1,0.044,0.133,0.225,0,0.05,0.133,-1,0.05,0,-0.817,0,0.183
1178,0,0.044,0.135,0.225,0,0.05,0.135,0,0.05,0,0.185,0.01,0.185
1179,0,0.045,0.136,0.225,0,0.05,0.136,0,0.05,0,0.186,0,0.186
1180,0,0.046,0.137,0.226,0,0.05,0.137,0,0.05,0,0.187,0.01,0.187
1181,0,0.046,0.137,0.227,0,0.05,0.137,0,0.05,0,0.187,0.01,0.187
1182,0,0.047,0.137,0.228,0,0.05,0.137,0,0.05,0,0.187,0.02,0.187
1183,0,0.048,0.137,0.229,0,0.05,0.137,0,0.05,0,0.187,0.03,0.187
1184,0,0.048,0.137,0.229,0,0.05,0.137,0,0.05,0,0.187,0.02,0.187
1185,0,0.049,0.137,0.23,0,0.04,0.137,0,0.04,0,0.177,0.02,0.177
1186,0,0.047,0.137,0.231,0,0.04,0.137,0,0.04,0,0.177,0.05,0.177
1187,0,0.045,0.137,0.232,0,0.04,0.137,0,0.04,0,0.177,0.07,0.177
1188,0,0.043,0.137,0.233,0,0.04,0.137,0,0.04,0,0.177,0.08,0.177
1189,0,0.041,0.137,0.235,0,0.04,0.137,0,0.04,0,0.177,0.07,0.177
1190,0,0.039,0.137,0.237,0,0.04,0.137,0,0.04,0,0.177,0.07,0.177
1191,0,0.037,0.137,0.239,0,0.04,0.137,0,0.04,0,0.177,0.06,0.177
1192,0,0.035,0.14,0.24,0,0.04,0.14,0,0.04,0,0.18,0.04,0.18
1193,0,0.033,0.143,0.242,0,0.04,0.143,0,0.04,0,0.183,0.04,0.183
1194,-2.42,0.031,0.147,0.244,0,0.04,0.147,-2.42,0.04,0,-2.233,0.05,0.187
1195,-0.9,0.029,0.15,0.245,0,0.04,0.15,-0.9,0.04,0,-0.71,0.05,0.19
1196,0,0.034,0.153,0.246,0,0.04,0.153,0,0.04,0,0.193,0.03,0.193
1197,0,0.038,0.156,0.247,0,0.04,0.156,0,0.04,0,0.196,0.01,0.196
1198,0,0.043,0.158,0.249,0,0.04,0.158,0,0.04,0,0.198,0.01,0.198
1199,0,0.047,0.16,0.25,0,0.04,0.16,0,0.04,0,0.2,0.01,0.2
1200,0,0.052,0.162,0.251,0,0.04,0.162,0,0.04,0,0.202,0.01,0.202
1201,0,0.056,0.164,0.253,0,0.04,0.164,0,0.04,0,0.204,-0.01,0.204
1202,0,0.061,0.165,0.254,0,0.04,0.165,0,0.04,0,0.205,-0.02,0.205
1203,0,0.065,0.167,0.255,0,0.03,0.167,0,0.03,0,0.197,-0.01,0.197
1204,0,0.07,0.166,0.257,0,0.03,0.166,0,0.03,0,0.196,-0.02,0.196
1205,-1.3,0.074,0.165,0.26,0,0.03,0.165,-1.3,0.03,0,-1.105,-0.03,0.195
1206,-0.5,0.072,0.164,0.264,0,0.03,0.164,-0.5,0.03,0,-0.306,-0.02,0.194
1207,0,0.069,0.163,0.267,0,0.03,0.163,0,0.03,0,0.193,-0.01,0.193
1208,0,0.067,0.162,0.27,0,0.03,0.162,0,0.03,0,0.192,-0.01,0.192
1209,0,0.064,0.161,0.274,0,0.03,0.161,0,0.03,0,0.191,-0.02,0.191
1210,0,0.062,0.159,0.277,0,0.03,0.159,0,0.03,0,0.189,-0.04,0.189
1211,0,0.059,0.158,0.281,0,0.03,0.158,0,0.03,0,0.188,-0.04,0.188
1212,0,0.057,0.157,0.284,0,0.03,0.157,0,0.03,0,0.187,-0.03,0.187
1213,0,0.054,0.156,0.287,0,0.03,0.156,0,0.03,0,0.186,-0.02,0.186
1214,0,0.052,0.156,0.291,0,0.02,0.156,0,0.02,0,0.176,-0.02,0.176
1215,0,0.049,0.156,0.294,0,0.02,0.156,0,0.02,0,0.176,-0.01,0.176
1216,0,0.045,0.156,0.297,0,0.02,0.156,0,0.02,0,0.176,0.01,0.176
1217,0,0.04,0.156,0.301,0,0.02,0.156,0,0.02,0,0.176,0.01,0.176
1218,0,0.036,0.156,0.304,0,0.02,0.156,0,0.02,0,0.176,0.01,0.176
1219,0,0.032,0.156,0.307,0,0.02,0.156,0,0.02,0,0.176,0.03,0.176
1220,0,0.028,0.156,0.311,0,0.02,0.156,0,0.02,0,0.176,0.04,0.176
1221,0,0.023,0.156,0.314,0,0.02,0.156,0,0.02,0,0.176,0.04,0.176
1222,0,0.019,0.156,0.317,0,0.01,0.156,0,0.01,0,0.166,0.06,0.166
1223,0,0.015,0.156,0.32,0,0.01,0.156,0,0.01,0,0.166,0.06,0.166
1224,0,0.011,0.156,0.323,0,0.01,0.156,0,0.01,0,0.166,0.06,0.166
1225,0,0.006,0.156,0.326,0,0.01,0.156,0,0.01,0,0.166,0.05,0.166
1226,0,0.01,0.156,0.33,0,0.01,0.156,0,0.01,0,0.166,0.04,0.166
1227,-0.8,0.013,0.156,0.333,0,0.01,0.156,-0.8,0.01,0,-0.634,0.02,0.166
1228,-0.3,0.017,0.156,0.332,0,0.01,0.156,-0.3,0.01,0,-0.134,0,0.166
1229,-5.09,0.02,0.156,0.331,0,0.01,0.156,-5.09,0.01,0,-4.924,-0.02,0.166
1230,-1.9,0.024,0.156,0.33,0,0.01,0.156,-1.9,0.01,0,-1.734,-0.04,0.166
1231,-0.7,0.027,0.156,0.329,0,0.01,0.156,-0.7,0.01,0,-0.534,-0.04,0.166
1232,0,0.031,0.156,0.328,0,0.01,0.156,0,0.01,0,0.166,-0.05,0.166
1233,0,0.034,0.16,0.327,0,0,0.16,0,0,0,0.16,-0.07,0.16
1234,0,0.038,0.154,0.326,0,0,0.154,0,0,0,0.154,-0.06,0.154
1235,0,0.041,0.147,0.325,0,0,0.147,0,0,0,0.147,-0.07,0.147
1236,0,0.041,0.14,0.324,0,0,0.14,0,0,0,0.14,-0.05,0.14
1237,0,0.041,0.133,0.322,0,0,0.133,0,0,0,0.133,-0.04,0.133
1238,0,0.041,0.131,0.312,0,0,0.131,0,0,0,0.131,-0.03,0.131
1239,0,0.041,0.128,0.302,0,0,0.128,0,0,0,0.128,-0.01,0.128
1240,0,0.041,0.125,0.291,0,0,0.125,0,0,0,0.125,0.01,0.125
1241,0,0.041,0.123,0.281,0,0,0.123,0,0,0,0.123,0.02,0.123
1242,0,0.041,0.12,0.27,0,0,0.12,0,0,0,0.12,0.02,0.12
1243,0,0.041,0.118,0.26,0,0,0.118,0,0,0,0.118,0.02,0.118
1244,0,0.041,0.115,0.249,0,0,0.115,0,0,0,0.115,0.03,0.115
1245,0,0.041,0.112,0.252,0,0,0.112,0,0,0,0.112,0.02,0.112
1246,0,0.043,0.11,0.254,0,0,0.11,0,0,0,0.11,0.02,0.11
1247,0,0.044,0.107,0.256,0,0,0.107,0,0,0,0.107,0,0.107
1248,0,0.046,0.105,0.258,0,0,0.105,0,0,0,0.105,0,0.105
1249,0,0.048,0.102,0.261,0,0,0.102,0,0,0,0.102,-0.01,0.102
1250,0,0.05,0.099,0.263,0,0,0.099,0,0,0,0.099,-0.01,0.099
1251,0,0.051,0.097,0.265,0,0,0.097,0,0,0,0.097,-0.02,0.097
1252,0,0.053,0.094,0.268,0,0,0.094,0,0,0,0.094,-0.02,0.094
1253,0,0.055,0.092,0.27,0,0,0.092,0,0,0,0.092,-0.05,0.092
1254,0,0.057,0.081,0.267,0,0,0.081,0,0,0,0.081,-0.08,0.081
1255,0,0.058,0.071,0.264,0,0,0.071,0,0,0,0.071,-0.09,0.071
1256,0,0.056,0.06,0.261,0,0,0.06,0,0,0,0.06,-0.09,0.06
1257,0,0.053,0.05,0.258,0,0,0.05,0,0,0,0.05,-0.09,0.05
1258,0,0.05,0.048,0.255,0,0,0.048,0,0,0,0.048,-0.1,0.048
1259,-11.82,0.047,0.046,0.252,0,0,0.046,-11.82,0,0,-11.774,-0.11,0.046
1260,-4.4,0.044,0.044,0.249,0,0,0.044,-4.4,0,0,-4.356,-0.12,0.044
1261,-1.6,0.042,0.042,0.246,0,0,0.042,-1.6,0,0,-1.558,-0.12,0.042
1262,0,0.039,0.043,0.243,0,0,0.043,0,0,0,0.043,-0.13,0.043
1263,0,0.036,0.043,0.24,0,0,0.043,0,0,0,0.043,-0.14,0.043
1264,0,0.033,0.043,0.231,0,0,0.043,0,0,0,0.043,-0.1,0.043
1265,0,0.03,0.044,0.222,0,0,0.044,0,0,0,0.044,-0.07,0.044
1266,0,0.031,0.044,0.212,0,0,0.044,0,0,0,0.044,-0.05,0.044
1267,0,0.031,0.044,0.203,0,0,0.044,0,0,0,0.044,-0.05,0.044
1268,0,0.032,0.045,0.193,0,0,0.045,0,0,0,0.045,-0.05,0.045
1269,0,0.032,0.045,0.184,0,0,0.045,0,0,0,0.045,-0.04,0.045
1270,0,0.033,0.045,0.174,0,0,0.045,0,0,0,0.045,-0.03,0.045
1271,0,0.034,0.046,0.165,0,0.01,0.046,0,0.01,0,0.056,-0.02,0.056
1272,0,0.034,0.046,0.156,0,0.01,0.046,0,0.01,0,0.056,-0.03,0.056
1273,0,0.035,0.046,0.155,0,0.01,0.046,0,0.01,0,0.056,-0.03,0.056
1274,0,0.035,0.044,0.154,0,0.01,0.044,0,0.01,0,0.054,-0.03,0.054
1275,-2.95,0.036,0.042,0.153,0,0.01,0.042,-2.95,0.01,0,-2.898,-0.04,0.052
1276,-1.1,0.029,0.04,0.152,0,0.01,0.04,-1.1,0.01,0,-1.05,-0.03,0.05
1277,0,0.022,0.038,0.151,0,0.01,0.038,0,0.01,0,0.048,-0.03,0.048
1278,0,0.015,0.035,0.151,0,0.01,0.035,0,0.01,0,0.045,-0.03,0.045
1279,0,0.009,0.033,0.15,0,0.01,0.033,0,0.01,0,0.043,-0.05,0.043
